SOL,MG,MH
-0.046,0.01,0.017
-0.02,0.027,0.004
0.086,-0.007,-0.008
0.053,-0.079,0.002
0.117,0,-0.002
-0.103,0.018,-0.004
-0.081,-0.006,-0.011
0.061,0.103,-0.014
0.183,0.047,-0.017
0.232,0.004,0.002
-0.061,0.005,0.013
-0.258,-0.11,0.035
0.11,0.001,-0.022
0.075,-0.043,-0.001
0.018,-0.09,0.01
-0.019,0.03,0
-0.061,0.063,0.015
0.079,0.006,0.002
0.128,0.088,0.023
0.024,0.015,-0.002
-0.01,-0.047,0.014
-0.016,0.042,0.025
-0.101,0.096,-0.01
0.007,-0.066,-0.016
0.156,-0.18,-0.005
0.048,0.033,0.006
-0.001,0.101,-0.005
-0.08,-0.071,-0.018
-0.081,-0.064,-0.002
-0.034,0.013,0.013
-0.011,0.025,0.001
0.072,-0.012,-0.006
0.075,-0.01,-0.009
0.016,0.045,0.003
0.031,0.043,0
0.128,0.047,0.003
-0.03,0.044,0.003
-0.025,-0.018,0.001
0.028,-0.026,0.007
0.02,-0.08,-0.002
0.052,-0.143,0.002
0.122,-0.108,0.014
0.08,0.011,-0.007
-0.035,0.011,-0.003
-0.052,0.118,-0.007
-0.051,0.127,0.02
0.035,-0.007,0.022
-0.061,-0.046,-0.018
0.03,0.026,-0.016
0.026,-0.062,-0.005
0.014,0.027,0.002
-0.005,0.011,0.008
0.006,0.016,0.009
0.059,-0.039,0.009
0.03,0.052,-0.004
0.058,0.039,0.005
0.074,-0.018,0.014
0.016,-0.099,-0.003
0.026,0.022,-0.004
0.055,0.006,-0.01
0.008,0.028,0.009
0.032,0.018,-0.006
0.073,0.036,0.005
0.057,-0.052,0.013
-0.029,-0.105,-0.003
-0.042,-0.011,-0.007
-0.012,0.006,0.017
-0.026,-0.016,0.009
-0.02,0.101,0.001
0.038,0.052,-0.005
0.028,0.001,-0.011
0.006,0.019,-0.006
0.106,0.008,0.013
0.138,0.022,0.022
0.084,0.017,0.008
-0.047,-0.053,-0.006
-0.031,-0.089,-0.005
0.015,0.026,-0.002
0.074,0.028,-0.016
0.015,0,0.002
0.033,0.025,0.012
-0.042,0.004,-0.016
0.006,-0.037,0.012
-0.063,0.068,-0.002
-0.022,0.008,0.013
0.078,-0.041,0.008
0.039,0.051,-0.001
0.047,0.013,-0.006
0.029,-0.009,0.009
0.073,-0.089,-0.008
0.046,-0.026,-0.01
-0.086,-0.076,-0.005
-0.101,-0.027,0.02
0.004,-0.054,-0.012
0.079,0.001,-0.002
0.042,0.178,0.01
0.037,0.003,0.003
-0.073,0.126,-0.002
-0.122,-0.017,0
0.074,-0.04,0.023
0.047,-0.019,-0.006
-0.004,-0.027,0.003
-0.005,0.018,-0.015
0.094,-0.027,0.001
