DIA 0,DIA 5,DIA 15,DIA 20,DIA 30
-0.0054,-0.005,-0.051,-0.0014,0.0885
-0.0054,-0.003,0.034,0.056,0.009
-0.0018,0.005,0.067,-0.0546,0.0375
-0.0018,0.011,0.041,0.0378,-0.0135
0.0024,0.018,-0.019,-0.0056,0.0225
0.0006,0.028,0.001,-0.0028,-0.054
-0.0018,0.014,-0.002,-0.0322,0.0285
-0.0003,-0.003,0.027,0.0014,0.036
0,0.003,0.025,-0.0028,0.042
-0.0027,0.025,-0.025,-0.0112,0.021
-0.0006,0.023,-0.013,0,0.0045
0.0021,0.026,-0.039,0.0756,-0.0465
-0.0009,0.011,0.029,0.0336,-0.0285
-0.0078,0.017,0.009,-0.0126,0.054
-0.0036,0.004,-0.006,0.0252,0.078
0,0.003,0.022,0.0378,0.018
-0.0006,0.009,-0.015,0.0224,0.036
-0.0054,0.025,-0.025,0.0028,0.0585
-0.0006,0.012,-0.001,0.035,0.0645
-0.0066,0.027,0.01,0.0392,0.054
0.0003,0.008,-0.021,0.0056,0.024
-0.0045,-0.008,0.043,-0.0042,0.006
-0.0018,0.005,0.051,0.007,0.0495
-0.0066,0.013,0.014,0.0756,0.027
-0.0102,0.029,0.002,0.0084,0.0075
-0.0054,0.001,0.038,-0.0336,-0.0075
-0.0006,0.01,0.05,-0.0028,-0.0015
-0.0027,0.019,0.039,-0.0126,0.0435
-0.0003,0.01,0.031,0.0266,-0.039
-0.0021,0.01,-0.038,0.0798,0.015
-0.0024,0.023,0.021,0.0182,0.06
-0.0021,-0.004,-0.017,-0.0098,0.0915
-0.0051,0.014,-0.032,0,0.0195
-0.0081,-0.003,-0.026,-0.0168,-0.015
-0.0072,0.008,0.008,0.0266,0.0405
-0.0045,0.018,0.048,0.0308,0.0465
-0.0099,0.012,0.053,0.0028,0.072
-0.0027,0.004,0.064,0.0378,0.006
0.0018,0.023,0.008,0.042,0.0615
0.0006,0.007,0.008,0.0392,-0.009
-0.006,0.01,0.041,-0.0448,-0.0255
-0.0045,0.009,0.036,0.0378,-0.024
-0.0015,0.01,-0.008,0.0182,-0.012
-0.0003,0.001,0.015,-0.0238,-0.042
-0.0021,0.023,-0.007,0.021,-0.0165
0.0009,0.008,0.002,0.0196,0.042
-0.0051,0.005,0.024,0.049,0.0975
-0.0006,0.011,0.018,0.0406,0.03
-0.0024,0.006,0.03,0.0448,-0.0255
-0.0033,0.004,0.04,0.028,0.0105
-0.0048,0.014,-0.021,0.0028,-0.018
-0.003,0.01,0.025,-0.049,-0.024
-0.0012,0.004,-0.021,0.0182,0.087
-0.0006,-0.017,0.009,0.0098,0.132
-0.0015,0.013,0.001,0.0028,0.1185
-0.0033,0.001,0.007,0.0154,0.0735
-0.0057,0.007,0.028,0.0084,-0.0315
0.0012,0.014,-0.007,0.0154,-0.0315
-0.0051,0.022,0.018,-0.0126,0.0195
0.0015,0.019,0.031,0.0476,0.069
0,0.017,0.032,-0.0602,0.021
-0.0021,0.014,-0.022,-0.063,-0.0075
-0.0045,0.026,0.008,-0.0266,0.021
-0.0003,0.024,0.013,-0.0042,0.0135
-0.0057,0.022,-0.029,-0.042,0.0525
-0.0012,0.012,0,0.0336,0.0105
-0.0012,0.024,-0.011,0.0224,0.0105
0,0.022,-0.081,-0.0504,0.033
-0.0024,0.013,-0.014,-0.028,0.033
0.0039,-0.004,-0.011,-0.0336,0.0705
-0.0015,-0.017,-0.019,0.0042,0.0165
-0.0003,-0.011,0.037,0.0364,0.057
-0.0006,0,0.014,0.0518,0.069
-0.0018,0.011,0.023,0.07,-0.015
-0.0093,-0.004,0.029,0.0686,-0.234
-0.006,0.023,0.013,-0.0294,-0.393
-0.0033,-0.001,-0.015,-0.0294,0.1335
0.0042,0.017,0.018,-0.0112,0.669
-0.0018,0.001,0.032,0.0098,0.219
-0.0051,-0.015,0.012,-0.0378,0.024
-0.0027,0.02,-0.016,0.0476,-0.0375
-0.0003,0.003,-0.005,-0.0126,-0.0825
-0.0003,-0.006,0.038,0.049,-0.0945
-0.0051,0.014,0.024,0.028,-0.117
0.0036,0.014,0.027,0.0294,0.057
-0.006,0.005,0.012,0.0252,0.054
-0.0012,0,-0.034,0.014,0.1275
-0.0006,0.011,0.006,0,0.0465
-0.0009,0.025,0.037,0.0336,-0.015
-0.0003,0,0.028,0.0406,0.0405
-0.0024,0.005,0.04,-0.0014,0.0915
-0.0051,0.026,0.02,-0.021,0.057
-0.0093,0.004,0.03,0.0378,-0.0825
0.0003,-0.008,-0.005,0.014,-0.141
-0.0003,0.01,0.023,0.0532,-0.099
-0.0012,0.011,-0.011,-0.0126,-0.093
-0.0051,0.003,0.057,0.0504,-0.042
-0.0036,0.007,0.035,-0.0238,0.0015
0.0018,0.001,0.017,0.0252,0.012
-0.0006,0.002,0.046,-0.021,0.0375
-0.0054,0.011,0.001,0.0042,0.075
-0.0027,0.026,-0.029,-0.0658,0.0555
-0.0087,0.018,-0.022,0.0392,0.021
-0.0051,0.015,-0.01,0.007,-0.0105
